Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
HSS	HSS50.8X38.1X3.2	467	15.9	1.02	5.08                
HSS	HSS50.8X25.4X4.8	545	14.6	0.466	5.08               
HSS	HSS50.8X25.4X3.2	392	11.7	0.384	5.08               
HSS	HSS508X12.7	18400	56600	5660	50.8                  
HSS	HSS508X9.5	13900	43300	4330	50.8                   
HSS	HSS457.2X12.7	16500	41000	4100	45.7                
HSS	HSS457.2X9.5	12500	31400	3140	45.7                 
HSS	HSS406.4X15.9	18100	34900	3490	40.6                
HSS	HSS406.4X12.7	14600	28500	2850	40.6                
HSS	HSS406.4X11.1	12800	25200	2520	40.6                
HSS	HSS406.4X9.5	11100	21900	2190	40.6                 
HSS	HSS406.4X7.9	9290	18400	1840	40.6                  
HSS	HSS406.4X6.4	7420	14900	1490	40.6                  
HSS	HSS355.6X15.9	15800	23000	2300	35.6                
HSS	HSS355.6X12.7	12800	18900	1890	35.6                
HSS	HSS355.6X9.5	9680	14500	1450	35.6                  
HSS	HSS355.6X7.9	8060	12300	1230	35.6                  
HSS	HSS355.6X6.4	6520	9950	995	35.6                    
HSS	HSS323.9X12.7	11500	14100	1410	32.4                
HSS	HSS323.9X9.5	8770	10900	1090	32.4                  
HSS	HSS323.9X6.4	5910	7490	749	32.4                    
HSS	HSS273.1X12.7	9680	8280	828	27.3                   
HSS	HSS273.1X9.5	7350	6410	641	27.3                    
HSS	HSS273.1X6.4	4970	4410	441	27.3                    
HSS	HSS254X15.9	11100	7950	795	25.4                    
HSS	HSS254X12.7	8970	6620	662	25.4                     
HSS	HSS254X9.5	6840	5120	512	25.4                      
HSS	HSS254X7.9	5730	4370	437	25.4                      
HSS	HSS254X6.4	4610	3550	355	25.4                      
HSS	HSS254X4.8	3460	2700	270	25.4                      
HSS	HSS244.5X12.7	8650	5870	587	24.4                   
HSS	HSS244.5X9.5	6580	4580	458	24.4                    
HSS	HSS244.5X7.9	5500	3870	387	24.4                    
HSS	HSS244.5X6.4	4430	3160	316	24.4                    
HSS	HSS244.5X4.8	3340	2400	240	24.4                    
HSS	HSS219.1X15.9	9480	4950	495	21.9                   
HSS	HSS219.1X12.7	7680	4160	416	21.9                   
HSS	HSS219.1X9.5	5850	3240	324	21.9                    
HSS	HSS219.1X8.2	5060	2830	283	21.9                    
HSS	HSS219.1X6.4	3960	2250	225	21.9                    
HSS	HSS219.1X4.8	2980	1720	172	21.9                    
HSS	HSS193.7X9.5	5150	2200	220	19.4                    
HSS	HSS193.7X8.3	4520	1960	196	19.4                    
HSS	HSS190.5X12.7	6650	2660	266	19.1                   
HSS	HSS190.5X9.5	5060	2090	209	19.1                    
HSS	HSS190.5X7.9	4250	1790	179	19.1                    
HSS	HSS190.5X6.4	3430	1470	147	19.1                    
